iter	Passed	Remaining
381	1285	2079
382	1287	2074
383	1296	2079
384	1297	2073
385	1300	2067
386	1301	2062
387	1303	2055
388	1305	2050
389	1307	2045
390	1309	2039
391	1310	2032
392	1311	2026
393	1313	2019
394	1314	2014
395	1316	2008
396	1317	2001
397	1319	1995
398	1322	1992
399	1324	1986
400	1325	1980
401	1326	1973
402	1328	1967
403	1329	1961
404	1331	1955
405	1332	1950
406	1334	1944
407	1336	1938
408	1337	1932
409	1338	1926
410	1340	1920
411	1341	1915
412	1343	1909
413	1344	1903
414	1346	1897
415	1347	1891
416	1348	1885
417	1350	1880
418	1352	1874
419	1353	1869
420	1354	1863
421	1356	1857
422	1357	1851
423	1359	1846
424	1361	1841
425	1362	1836
426	1364	1830
427	1369	1829
428	1370	1824
429	1371	1818
430	1373	1812
431	1374	1807
432	1375	1801
433	1377	1796
434	1378	1790
435	1380	1785
436	1381	1780
437	1383	1775
438	1384	1769
439	1386	1764
440	1387	1759
441	1389	1754
442	1390	1748
443	1392	1743
444	1393	1738
445	1396	1734
446	1398	1730
447	1400	1725
448	1401	1719
449	1404	1716
450	1406	1711
451	1407	1706
452	1409	1701
453	1417	1705
454	1419	1700
455	1420	1694
456	1422	1689
457	1424	1685
458	1428	1684
459	1431	1680
460	1433	1675
461	1434	1670
462	1436	1666
463	1439	1662
464	1440	1657
465	1446	1657
466	1447	1652
467	1448	1647
468	1450	1642
469	1452	1637
470	1453	1632
471	1455	1627
472	1456	1622
473	1462	1622
474	1463	1617
475	1465	1612
476	1466	1607
477	1467	1602
478	1469	1598
479	1470	1593
480	1472	1588
481	1477	1587
482	1479	1583
483	1480	1578
484	1482	1573
485	1483	1568
486	1484	1564
487	1486	1559
488	1487	1554
489	1493	1554
490	1494	1549
491	1496	1544
492	1497	1539
493	1499	1535
494	1500	1530
495	1502	1526
496	1503	1521
497	1506	1518
498	1508	1514
499	1510	1510
500	1512	1506
501	1514	1502
502	1516	1498
503	1524	1500
504	1526	1496
505	1528	1491
506	1529	1487
507	1531	1483
508	1536	1482
509	1538	1478
510	1540	1474
511	1544	1471
512	1545	1467
513	1547	1463
514	1553	1462
515	1555	1458
516	1557	1455
517	1559	1451
518	1561	1447
519	1568	1448
520	1570	1444
521	1572	1439
522	1573	1435
523	1575	1430
524	1576	1426
525	1578	1422
526	1579	1417
527	1584	1416
528	1586	1412
529	1587	1407
530	1589	1403
531	1590	1399
532	1591	1394
533	1593	1390
534	1594	1386
535	1603	1388
536	1605	1383
537	1606	1379
538	1607	1375
539	1609	1371
540	1610	1366
541	1616	1366
542	1618	1361
543	1619	1357
544	1621	1353
545	1622	1349
546	1624	1344
547	1625	1340
548	1629	1338
549	1631	1334
550	1633	1331
551	1635	1327
552	1637	1323
553	1639	1319
554	1640	1315
555	1642	1311
556	1643	1307
557	1645	1303
558	1646	1298
559	1647	1294
560	1649	1290
561	1650	1286
562	1655	1285
563	1657	1281
564	1658	1276
565	1660	1272
566	1661	1269
567	1663	1265
568	1664	1261
569	1672	1261
570	1674	1257
571	1676	1254
572	1677	1250
573	1683	1249
574	1684	1245
575	1686	1241
576	1687	1237
577	1689	1233
578	1690	1229
579	1692	1225
580	1693	1221
581	1698	1219
582	1699	1215
583	1701	1212
584	1703	1208
585	1704	1204
586	1705	1200
587	1707	1196
588	1708	1192
589	1709	1188
590	1716	1187
591	1718	1184
592	1719	1180
593	1722	1177
594	1723	1173
595	1725	1169
596	1730	1168
597	1732	1164
598	1733	1160
599	1734	1156
600	1736	1152
601	1737	1148
602	1739	1145
603	1740	1141
604	1745	1139
605	1747	1135
606	1749	1132
607	1750	1128
608	1752	1124
609	1753	1121
610	1754	1117
611	1756	1113
612	1761	1112
613	1763	1108
614	1764	1104
615	1766	1100
616	1767	1097
617	1769	1093
618	1770	1089
619	1772	1086
620	1777	1084
621	1779	1081
622	1780	1077
623	1781	1073
624	1783	1069
625	1784	1066
626	1786	1062
627	1792	1061
628	1794	1058
629	1795	1054
630	1797	1051
631	1798	1047
632	1800	1043
633	1801	1040
634	1803	1036
635	1808	1035
636	1810	1031
637	1812	1028
638	1815	1025
639	1817	1022
640	1818	1018
641	1825	1018
642	1826	1014
643	1828	1010
644	1829	1007
645	1831	1003
646	1832	999
647	1834	996
648	1839	994
649	1840	991
650	1842	987
651	1844	984
652	1846	981
653	1847	977
654	1848	973
655	1850	970
656	1855	968
657	1856	964
658	1857	961
659	1859	957
660	1860	954
661	1862	950
662	1863	947
663	1865	943
664	1871	942
665	1872	939
666	1874	935
667	1875	932
668	1876	928
669	1878	925
670	1880	921
671	1881	918
672	1888	917
673	1890	914
674	1892	911
675	1894	908
676	1896	904
677	1902	903
678	1904	900
679	1906	897
680	1907	893
681	1909	890
682	1911	887
683	1916	885
684	1919	882
685	1921	879
686	1923	876
687	1925	873
688	1957	883
689	1958	880
690	1960	876
691	1973	878
692	1977	875
693	1987	876
694	1989	873
695	1991	869
696	2002	870
697	2007	868
698	2020	870
699	2022	866
700	2026	864
701	2032	862
702	2035	859
703	2037	856
704	2039	853
705	2041	850
706	2047	848
707	2049	845
708	2051	841
709	2053	838
710	2055	835
711	2066	835
712	2068	832
713	2070	829
714	2072	826
715	2077	824
716	2083	822
717	2085	818
718	2086	815
719	2088	812
720	2095	810
721	2096	807
722	2098	804
723	2101	800
724	2102	797
725	2104	794
726	2114	793
727	2115	790
728	2119	788
729	2126	786
730	2129	783
731	2132	780
732	2134	777
733	2140	775
734	2142	772
735	2144	769
736	2146	765
737	2147	762
738	2149	759
739	2150	755
740	2152	752
741	2158	750
742	2160	747
743	2161	743
744	2162	740
745	2164	736
746	2165	733
747	2167	730
748	2172	728
749	2174	724
750	2175	721
751	2177	718
752	2178	714
753	2180	711
754	2181	707
755	2183	704
756	2189	702
757	2191	699
758	2193	696
759	2194	693
760	2197	690
761	2205	688
762	2207	685
763	2209	682
764	2211	679
765	2212	675
766	2215	673
767	2218	670
768	2220	667
769	2222	663
770	2223	660
771	2225	657
772	2226	653
773	2228	650
774	2233	648
775	2234	645
776	2236	641
777	2237	638
778	2239	635
779	2241	632
780	2242	628
781	2244	625
782	2250	623
783	2252	620
784	2254	617
785	2256	614
786	2258	611
787	2260	608
788	2272	607
789	2274	604
790	2280	602
791	2282	599
792	2284	596
793	2286	593
794	2287	589
795	2300	589
796	2303	586
797	2305	583
798	2307	580
799	2322	580
800	2329	578
801	2331	575
802	2333	572
803	2334	569
804	2336	566
805	2338	562
806	2343	560
807	2345	557
808	2347	554
809	2349	551
810	2350	547
811	2352	544
812	2354	541
813	2359	539
814	2362	536
815	2364	533
816	2366	529
817	2368	526
818	2369	523
819	2375	521
820	2377	518
821	2378	515
822	2380	512
823	2382	508
824	2384	505
825	2386	502
826	2394	500
827	2395	497
828	2397	494
829	2399	491
830	2401	488
831	2411	487
832	2413	483
833	2415	480
834	2417	477
835	2424	475
836	2426	472
837	2428	469
838	2430	466
839	2431	463
840	2439	461
841	2440	458
842	2442	454
843	2443	451
844	2445	448
845	2446	445
846	2448	442
847	2452	439
848	2453	436
849	2455	433
850	2456	430
851	2458	427
852	2459	423
853	2461	420
854	2462	417
855	2463	414
856	2468	411
857	2470	408
858	2471	405
859	2472	402
860	2474	399
861	2475	396
862	2477	393
863	2478	390
864	2480	387
865	2481	383
866	2483	380
867	2484	377
868	2485	374
869	2487	371
870	2488	368
871	2490	365
872	2497	363
873	2499	360
874	2500	357
875	2502	354
876	2503	351
877	2505	348
878	2511	345
879	2512	342
880	2514	339
881	2515	336
882	2517	333
883	2518	330
884	2520	327
885	2521	324
886	2527	321
887	2528	318
888	2529	315
889	2531	312
890	2532	309
891	2534	306
892	2535	303
893	2549	302
894	2550	299
895	2552	296
896	2559	293
897	2561	290
898	2563	287
899	2565	285
900	2567	282
901	2569	279
902	2578	276
903	2580	274
904	2582	271
905	2584	268
906	2590	265
907	2592	262
908	2594	259
909	2596	256
910	2600	254
911	2604	251
912	2606	248
913	2608	245
914	2610	242
915	2612	239
916	2614	236
917	2616	233
918	2628	231
919	2630	228
920	2632	225
921	2637	223
922	2641	220
923	2643	217
924	2645	214
925	2647	211
926	2648	208
927	2655	206
928	2657	203
929	2658	200
930	2660	197
931	2662	194
932	2664	191
933	2670	188
934	2672	185
935	2673	182
936	2675	179
937	2677	176
938	2680	174
939	2696	172
940	2702	169
941	2704	166
942	2707	163
943	2711	160
944	2718	158
945	2720	155
946	2722	152
947	2724	149
948	2725	146
949	2727	143
950	2732	140
951	2734	137
952	2737	135
953	2739	132
954	2741	129
955	2743	126
956	2748	123
957	2750	120
958	2751	117
959	2753	114
960	2755	111
961	2756	108
962	2758	105
963	2759	103
964	2764	100
965	2765	97
966	2767	94
967	2768	91
968	2770	88
969	2771	85
970	2773	82
971	2774	79
972	2782	77
973	2784	74
974	2786	71
975	2787	68
976	2789	65
977	2793	62
978	2795	59
979	2797	57
980	2798	54
981	2799	51
982	2801	48
983	2804	45
984	2806	42
985	2808	39
986	2810	37
987	2814	34
988	2816	31
989	2818	28
990	2820	25
991	2822	22
992	2824	19
993	2826	17
994	2840	14
995	2842	11
996	2854	8
997	2861	5
998	2864	2
999	2865	0
